Region #,Region,IMD - Average score,IMD - Extent,Income - Average score,Employment - Average score,"Education, Skills and Training - Average score",Health Deprivation and Disability - Average score,Crime - Average score,Barriers to Housing and Services - Average score,Living Environment - Average score
E06000026,Plymouth,26.643,0.3,0.163,0.142,24.147,0.666,0.204,19.839,26.733
E06000027,Torbay,28.788,0.3104,0.191,0.176,24.462,0.568,0.306,15.99,27.731
E06000028,Bournemouth,21.847,0.1742,0.14,0.117,21.519,0.067,0.322,19.566,29.476
E06000029,Poole,15.219,0.0615,0.112,0.089,20.23,-0.216,-0.244,20.46,14.031
E06000030,Swindon,17.857,0.1459,0.125,0.099,26.089,-0.135,0.073,17.064,13.737
E06000031,Peterborough,27.659,0.3596,0.182,0.142,33.434,0.436,0.283,25.408,17.714
E06000032,Luton,27.577,0.3138,0.178,0.125,25.496,0.317,0.61,32.218,23.736
E06000033,Southend-on-Sea,24.516,0.2544,0.169,0.139,26.73,0.093,0.461,16.213,24.893
E06000034,Thurrock,21.603,0.1323,0.152,0.112,29.967,-0.33,0.481,22.327,16.907
E06000035,Medway,22.332,0.1964,0.153,0.124,26.604,-0.034,0.352,18.387,21.186
E06000036,Bracknell Forest,10.462,0.0031,0.082,0.066,14.846,-0.823,-0.499,24.201,4.315
E06000037,West Berkshire,10.242,0.0106,0.076,0.064,13.751,-1.265,-0.195,22.002,11.807
E06000038,Reading,19.319,0.1137,0.135,0.094,20.531,-0.318,0.144,23.672,27.397
E06000039,Slough,22.873,0.1118,0.151,0.103,21.223,-0.059,0.686,28.452,24.932
E06000040,Windsor and Maidenhead,8.857,0.0014,0.069,0.058,9.059,-1.314,-0.125,18.679,13.064
E06000041,Wokingham,5.652,0.0,0.052,0.048,7.153,-1.812,-0.632,18.816,5.957
E06000042,Milton Keynes,18.029,0.1285,0.138,0.1,18.089,-0.067,0.076,25.631,5.619
E06000043,Brighton and Hove,23.441,0.2018,0.14,0.112,19.899,0.278,0.133,25.376,34.253
E06000044,Portsmouth,27.054,0.2436,0.156,0.11,32.327,0.311,0.308,23.387,42.986
E06000045,Southampton,26.878,0.2675,0.154,0.11,28.923,0.498,0.677,21.048,34.996
E06000046,Isle of Wight,23.087,0.156,0.155,0.145,28.208,0.096,-0.373,19.207,28.007
E06000047,County Durham,25.741,0.2646,0.178,0.168,23.093,0.766,-0.172,17.605,6.077
E06000049,Cheshire East,14.132,0.0851,0.094,0.088,13.47,-0.266,-0.424,18.533,20.496
E06000050,Cheshire West and Chester,18.086,0.1571,0.122,0.114,18.993,0.063,-0.239,16.785,16.861
E06000051,Shropshire,16.689,0.041,0.106,0.092,17.758,-0.296,-0.591,24.495,28.298
E06000052,Cornwall,23.833,0.1399,0.143,0.125,18.139,0.103,-0.386,28.441,42.151
E06000053,Isles of Scilly,12.013,0.0,0.028,0.027,4.038,-2.191,-0.658,27.402,66.56
E06000054,Wiltshire,13.466,0.036,0.088,0.077,17.2,-0.546,-0.446,25.78,15.064
E06000055,Bedford,19.238,0.1453,0.136,0.113,19.998,-0.218,-0.157,25.077,18.494
E06000056,Central Bedfordshire,12.201,0.0402,0.094,0.076,17.583,-0.75,-0.185,18.658,9.927
E06000057,Northumberland,20.525,0.1782,0.137,0.134,22.143,0.16,-0.804,23.816,11.249
E08000001,Bolton,28.42,0.3775,0.19,0.16,25.376,0.672,0.22,18.117,24.352
E08000002,Bury,21.769,0.1976,0.153,0.14,16.915,0.378,0.016,13.967,22.389
E08000003,Manchester,40.512,0.5938,0.242,0.167,31.595,1.422,0.815,25.879,34.279
E08000004,Oldham,30.291,0.4062,0.206,0.17,32.97,0.72,0.371,12.013,21.011
E08000005,Rochdale,33.684,0.4473,0.216,0.185,31.557,0.94,0.575,20.156,19.184
E08000006,Salford,32.959,0.4339,0.212,0.173,28.931,1.124,0.257,18.872,23.401
E08000007,Stockport,19.108,0.1486,0.128,0.117,17.491,0.365,0.142,11.762,17.651
E08000008,Tameside,29.38,0.3631,0.188,0.166,27.805,0.942,0.35,13.003,23.669
